N=100, K=71, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=72, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=73, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=74, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=75, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=76, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=77, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=78, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=79, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=80, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=81, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=82, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=83, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=84, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=85, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=86, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=87, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=88, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=89, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=90, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=91, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=92, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=93, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=94, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=95, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=96, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=97, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=1, t1=[[0.4405 0.0595],[0.211 0.289]], t2=[[0.4405 0.0595],[0.211 0.289]]
N=1000, K=2, t1=[[0.4875 0.0125],[0.1455 0.3545]], t2=[[0.4875 0.0125],[0.1455 0.3545]]
N=1000, K=3, t1=[[0.4985 0.0015],[0.1085 0.3915]], t2=[[0.4995 0.0005],[0.0915 0.4085]]
N=1000, K=4, t1=[[0.5 0. ],[0.1075 0.3925]], t2=[[0.5 0. ],[0.0705 0.4295]]
N=1000, K=5, t1=[[0.5 0. ],[0.081 0.419]], t2=[[0.5 0. ],[0.0435 0.4565]]
N=1000, K=6, t1=[[0.5 0. ],[0.0655 0.4345]], t2=[[0.5 0. ],[0.036 0.464]]
N=1000, K=7, t1=[[0.5 0. ],[0.058 0.442]], t2=[[0.5 0. ],[0.019 0.481]]
N=1000, K=8, t1=[[0.5 0. ],[0.043 0.457]], t2=[[0.5 0. ],[0.0095 0.4905]]
N=1000, K=9, t1=[[0.5 0. ],[0.0455 0.4545]], t2=[[0.5 0. ],[0.0045 0.4955]]
N=1000, K=10, t1=[[0.5 0. ],[0.0355 0.4645]], t2=[[0.5 0. ],[0.005 0.495]]
N=1000, K=11, t1=[[0.5 0. ],[0.0345 0.4655]], t2=[[0.5 0. ],[0.002 0.498]]
N=1000, K=12, t1=[[0.5 0. ],[0.0195 0.4805]], t2=[[0.5 0. ],[0.0005 0.4995]]
N=1000, K=13, t1=[[0.5 0. ],[0.019 0.481]], t2=[[0.5 0. ],[0.001 0.499]]
N=1000, K=14, t1=[[0.5 0. ],[0.02 0.48]], t2=[[0.5 0. ],[0.0005 0.4995]]
N=1000, K=15, t1=[[0.5 0. ],[0.017 0.483]], t2=[[0.5 0. ],[0.001 0.499]]
N=1000, K=16, t1=[[0.5 0. ],[0.0145 0.4855]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=17, t1=[[0.5 0. ],[0.009 0.491]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=18, t1=[[0.5 0. ],[0.0085 0.4915]], t2=[[0.5 0. ],[0.0005 0.4995]]
N=1000, K=19, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=20, t1=[[0.5 0. ],[0.003 0.497]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=21, t1=[[0.5 0. ],[0.0035 0.4965]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=22, t1=[[0.5 0. ],[0.0035 0.4965]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=23, t1=[[0.5 0. ],[0.0015 0.4985]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=24, t1=[[0.5 0. ],[0.0025 0.4975]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=25, t1=[[0.5 0. ],[0.0015 0.4985]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=26, t1=[[0.5 0. ],[0.001 0.499]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=27, t1=[[0.5 0. ],[0.001 0.499]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=28, t1=[[0.5 0. ],[0.0015 0.4985]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=29, t1=[[0.5 0. ],[0.0015 0.4985]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=30, t1=[[0.5 0. ],[0.001 0.499]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=31, t1=[[0.5 0. ],[0.001 0.499]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=32, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=33, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=34, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=35, t1=[[0.5 0. ],[0.0005 0.4995]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=36, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=37, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=38, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=39, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=40, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=41, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=42, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=43, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=44, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=45, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=46, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=47, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=48, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=49, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=50, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=51, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=52, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=53, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=54, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=55, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=56, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=57, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=58, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=59, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=60, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=61, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=62, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=63, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=64, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=1000, K=65, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
