N=1000, K=72, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=73, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=74, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=75, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=76, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=77, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=78, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=79, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=80, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=81, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=82, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=83, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=84, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=85, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=86, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=87, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=88, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=89, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=90, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=91, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=92, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=93, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=94, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=95, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=96, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=97, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=1, t=[[0.48285 0.01715],[0.17905 0.32095]]
N=10000, K=2, t=[[0.48955 0.01045],[0.1011 0.3989]]
N=10000, K=3, t=[[0.48925 0.01075],[0.0602 0.4398]]
N=10000, K=4, t=[[0.4854 0.0146],[0.04225 0.45775]]
N=10000, K=5, t=[[0.4855 0.0145],[0.03215 0.46785]]
N=10000, K=6, t=[[0.487 0.013],[0.0212 0.4788]]
N=10000, K=7, t=[[0.4914 0.0086],[0.01365 0.48635]]
